annee,nature,parcelles
2021,Adjudication,53
2021,Echange,79
2021,Expropriation,33
2021,Vente en l'état futur d'achèvement,137
2021,Vente terrain à bâtir,278
2022,Adjudication,44
2022,Echange,99
2022,Expropriation,16
2022,Vente en l'état futur d'achèvement,130
2022,Vente terrain à bâtir,340
2023,Adjudication,51
2023,Echange,86
2023,Expropriation,38
2023,Vente en l'état futur d'achèvement,137
2023,Vente terrain à bâtir,302
2024,Adjudication,50
2024,Echange,108
2024,Vente en l'état futur d'achèvement,116
2024,Vente terrain à bâtir,194
2025,Adjudication,18
2025,Echange,81
2025,Vente en l'état futur d'achèvement,62
2025,Vente terrain à bâtir,138
