commune,n,n_vendues,n_vendues_fort_potentiel,prec@100_proba_seule,prec@100_indice_opportunite
97401,8560,130,20,0.02,0.05
97402,6016,58,5,0.0,0.02
97403,6301,81,13,0.02,0.03
97404,9011,147,27,0.05,0.05
97405,13122,191,24,0.0,0.03
97406,6446,103,18,0.01,0.04
97407,10114,186,27,0.04,0.02
97408,13148,288,90,0.04,0.03
97409,22513,303,87,0.02,0.02
97410,21622,319,70,0.03,0.03
97411,36981,590,64,0.02,0.02
97412,28875,449,63,0.0,0.0
97413,22763,301,85,0.03,0.03
97414,29141,404,54,0.02,0.04
97415,50593,880,192,0.03,0.03
97416,42045,636,103,0.02,0.01
97417,4155,63,0,0.0,0.0
97418,16646,220,44,0.02,0.03
97419,6284,51,15,0.0,0.0
97420,12490,113,26,0.01,0.01
97421,7034,61,9,0.02,0.01
97422,42523,726,152,0.02,0.04
97423,5301,73,12,0.03,0.02
97424,6555,114,19,0.0,0.01
