idu,rang_servi,tier_servi,contrib_vois_z,contrib_retiree_servie,residuel_famille,raison
97409000AP1056,436,chaude,0.0021,0.2395,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97414000CT0038,438,chaude,0.0166,0.2395,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97411000HB0333,600,chaude,0.0801,0.1227,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97408000AC2135,642,chaude,0.0529,0.0,calculee,redistribution de la tête : recalibration par segment et effectif Priorité élargi déplacent la frontière du palier
97408000AC3507,786,chaude,0.1886,0.2395,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97413000CX2897,886,chaude,0.1762,0.2395,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97415000CT0059,722,chaude,-0.0969,0.0,calculee,voisinage défavorable : peu de ventes/permis autour de la parcelle (K4 bis) — le voisinage redistribue la tête
97410000AK0402,442,chaude,-0.0113,0.2395,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97416000IE1899,434,chaude,-0.1634,0.2395,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97416000EZ0553,927,chaude,0.11,0.0,calculee,redistribution de la tête : recalibration par segment et effectif Priorité élargi déplacent la frontière du palier
97415000AB0492,870,chaude,-0.0997,0.2395,zone_non_constructible,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97416000ET2104,496,chaude,-0.2644,0.2395,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97415000AX0990,826,chaude,0.1545,0.0,calculee,redistribution de la tête : recalibration par segment et effectif Priorité élargi déplacent la frontière du palier
97408000AM0556,572,chaude,0.0226,0.1227,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
97415000AY0401,837,chaude,0.1405,0.0,calculee,redistribution de la tête : recalibration par segment et effectif Priorité élargi déplacent la frontière du palier
97415000EY1040,265,chaude,0.0823,0.2395,calculee,variable retirée : le score servi s'appuyait sur une variable morte (K2) qui ne compte plus
