idu,date_vente,vente_groupee,premier_envoi,n_simule,premiere_piste,exclue_client
97405000AI1209,2025-09-29,True,,,,False
97411000KB0255,2025-09-17,True,,,,False
97415000BV1609,2025-04-04,True,,,,False
97421000BM0629,2025-09-17,False,,,,False
97411000DL0088,2025-09-04,False,,,,False
97422000BD3529,2025-07-22,False,,,,False
97416000EH0782,2025-04-04,False,,,,False
97409000AI0348,2025-10-28,False,,,,False
97409000BM1330,2025-07-04,True,,,,False
97412000BI0418,2025-03-21,True,,,,False
97411000HD0081,2025-03-12,False,,,,False
97404000AD1097,2025-05-16,False,,,,False
97411000DW0288,2025-07-03,True,,,,False
97411000EZ0106,2025-03-31,False,,,,False
97415000AV0362,2025-01-17,True,,,,False
97414000DS0852,2025-06-23,False,,,,False
97414000EN2984,2025-08-27,True,,,,False
97415000CO0501,2025-07-01,True,,,,False
97416000EX1899,2025-07-28,True,,,,False
97406000AD0353,2025-07-12,False,,,,False
97415000BZ0929,2025-11-28,True,,,,False
97418000AO1196,2025-03-05,True,,,,False
97408000AP1659,2025-09-11,True,,,,False
97416000EV0905,2025-04-07,False,,,,False
97404000BA0137,2025-12-03,False,,,,False
97405000BE1447,2025-07-23,False,,,,False
97416000HX1349,2025-03-28,True,,,,False
97416000IA1343,2025-06-27,True,,,,False
97409000AR0902,2025-07-15,False,,,,False
97418000BV0255,2025-12-17,False,,,,False
97401000AP1199,2025-10-07,True,,,,False
97405000AK1824,2025-04-28,False,,,,False
97420000AO0651,2025-03-11,False,,,,False
97412000CX0921,2025-12-02,True,,,,False
97416000DE0759,2025-08-21,False,,,,False
97410000BE0180,2025-03-26,False,,,,False
97419000AX0717,2025-06-26,False,,,,False
97411000DN0055,2025-06-20,False,,,,False
97414000ES1073,2025-12-01,False,,,,False
97407000BL0247,2025-11-27,True,,,,False
97413000DE0915,2025-05-27,True,,,,False
97408000AP1618,2025-09-11,True,,,,False
97401000AP0687,2025-10-28,True,,,,False
97406000AO0045,2025-09-29,True,,,,False
97414000ET0097,2025-05-13,False,,,,False
97414000EX0192,2025-03-27,False,,,,False
97416000ET0998,2025-07-31,False,,,,False
97411000AE0117,2025-01-31,True,,,,False
97422000CM0905,2025-06-19,True,,,,False
97415000ES0558,2025-12-15,False,,,,False
97416000HX1005,2025-09-26,True,,,,False
97405000AE0452,2025-09-08,True,,,,False
97414000ET2221,2025-12-15,True,,,,False
97413000CX2482,2025-07-19,True,,,,False
97411000EZ0210,2025-07-22,False,,,,False
97407000BE0262,2025-09-15,False,,,,False
97413000CX2857,2025-09-11,False,,,,False
97411000EP0073,2025-12-09,False,,,,False
97422000DE0693,2025-03-26,False,,,,False
97418000AS0941,2025-03-13,False,,,,False
97415000CX0639,2025-01-13,True,,,2026-08-14 16:21:48.650530+00:00,False
97411000AZ0046,2025-05-06,False,,,,False
97415000ET1667,2025-02-14,False,,,,False
97424000AM0649,2025-10-15,True,,,,False
97411000ET0152,2025-09-25,False,,,,False
97422000BP0394,2025-06-11,False,,,,False
97409000AR2612,2025-04-16,False,,,,False
97408000AS0449,2025-12-03,False,,,,False
97405000AE0921,2025-06-23,False,,,,False
97418000AP4440,2025-07-10,False,,,,False
97412000CD0528,2025-04-09,False,,,,False
97424000AI1545,2025-08-07,False,,,,False
97415000HR0233,2025-07-18,False,,,,False
97411000BC0452,2025-03-07,False,,,,False
97413000CI0700,2025-05-16,False,,,,False
97407000AV0347,2025-07-24,True,,,,False
97417000AT1198,2025-07-18,False,,,,False
97415000AT0617,2025-12-22,False,,,,False
97409000AS2127,2025-04-24,True,,,,False
97416000HY0239,2025-03-03,True,,,,False
97415000DI0656,2025-12-22,True,,,,False
97411000AO0339,2025-08-29,False,,,,False
97422000AY1336,2025-09-23,True,,,,False
97418000AY0042,2025-06-27,False,,,,False
97416000DZ0667,2025-09-12,True,,,,False
97410000BM1316,2025-01-23,False,,,,False
