idu,date_vente,vente_groupee,premier_envoi,n_simule,premiere_piste,exclue_client
97405000AI1209,2025-09-29,True,,,,False
97410000BN0293,2024-02-06,False,,,,False
97411000KB0255,2025-09-17,True,,,,False
97415000BV1609,2024-07-22,True,,,,False
97421000BM0629,2025-09-17,False,,,,False
97405000AW1684,2024-06-28,False,,,,False
97411000DL0088,2025-09-04,False,,,,False
97416000EH0782,2025-04-04,False,,,,False
97422000BD3529,2025-07-22,False,,,,False
97421000AI0250,2024-05-22,True,,,,False
97414000CH0957,2024-09-06,False,,,,False
97409000AI0348,2025-10-28,False,,,,False
97411000ER0009,2024-12-19,False,,,,False
97413000AV2288,2024-04-23,True,,,,False
97411000HD0081,2025-03-12,False,,,,False
97404000AD1097,2025-05-16,False,,,,False
97411000DW0288,2025-07-03,True,,,,False
97410000AE1355,2024-04-08,True,,,,False
97414000HI1493,2024-11-27,True,,,,False
97415000AV0362,2024-11-15,True,,,,False
97415000DM1023,2024-01-17,True,,,,False
97414000DS0852,2025-06-23,False,,,,False
97414000EN2984,2025-08-27,True,,,,False
97415000CO0501,2025-07-01,True,,,,False
97422000CL1480,2024-11-14,False,,,,False
97408000BI0400,2024-06-27,False,,,,False
97403000AS1669,2024-05-30,True,,,,False
97416000EX1899,2025-07-28,True,,,,False
97419000AE0405,2024-05-13,False,,,,False
97407000BC0406,2024-11-19,False,,,,False
97423000AC0328,2024-01-14,True,,,,False
97408000AP1659,2025-09-11,True,,,,False
97416000EV0905,2025-04-07,False,,,,False
97410000AI1446,2024-07-11,False,,,,False
97406000AI1061,2024-08-19,True,,,,False
97404000BA0137,2025-12-03,False,,,,False
97416000HX1349,2025-03-28,True,,,,False
97416000IA1343,2025-06-27,True,,,,False
97409000AR0902,2025-07-15,False,,,,False
97418000BV0255,2025-12-17,False,,,,False
97408000BO0582,2024-09-27,True,,,,False
97412000CX0921,2025-12-02,True,,,,False
97413000CL0905,2024-06-25,False,,,,False
97410000BE0180,2025-03-26,False,,,,False
97419000AX0717,2025-06-26,False,,,,False
97424000AE2183,2024-06-28,False,,,,False
97411000CD1330,2024-07-29,True,,,,False
97413000DE0915,2025-05-27,True,,,,False
97411000BK0365,2024-06-12,False,,,,False
97404000AX0557,2024-08-07,False,,,,False
97406000AO0045,2025-09-29,True,,,,False
97414000ET0097,2025-05-13,False,,,,False
97414000EX0192,2025-03-27,False,,,,False
97416000ET0998,2025-07-31,False,,,,False
97411000AE0117,2025-01-31,True,,,,False
97422000CM0905,2025-06-19,True,,,,False
97422000AW0884,2024-10-31,False,,,,False
97416000HX1005,2025-09-26,True,,,,False
97405000AE0452,2025-09-08,True,,,,False
97412000CR0233,2024-10-16,True,,,,False
97415000EO1052,2024-12-12,False,,,,False
97420000BC0489,2024-10-18,True,,,,False
97414000ET2221,2025-12-15,True,,,,False
97420000AE0424,2024-06-24,False,,,,False
97413000CX2482,2025-07-19,True,,,,False
97411000EZ0210,2025-07-22,False,,,,False
97413000CX2857,2025-09-11,False,,,,False
97415000CV1236,2024-03-11,True,,,,False
97418000AS0941,2024-07-31,False,,,,False
97415000CX0639,2025-01-13,True,,,2026-08-14 16:21:48.650530+00:00,False
97415000CM2325,2024-07-01,False,,,,False
97408000BK0245,2024-08-28,True,,,,False
97411000AZ0046,2025-05-06,False,,,,False
97415000ET1667,2025-02-14,False,,,,False
97409000AS1879,2024-01-26,False,,,,False
97424000AM0649,2025-10-15,True,,,,False
97411000ET0152,2025-09-25,False,,,,False
97422000BP0394,2025-06-11,False,,,,False
97409000AR2612,2025-04-16,False,,,,False
97422000DE0784,2024-05-16,True,,,,False
97416000HI1107,2024-04-08,True,,,,False
97418000AS1274,2024-12-23,True,,,,False
97422000CI0729,2024-06-21,True,,,,False
97418000AP4440,2025-07-10,False,,,,False
97412000BP0488,2024-04-04,True,,,,False
97412000CD0528,2025-04-09,False,,,,False
97413000CA0262,2024-12-30,True,,,,False
97405000AD0729,2024-06-13,True,,,,False
97424000AD0021,2024-08-06,False,,,,False
97413000CI0700,2025-05-16,False,,,,False
97414000ET2323,2024-08-09,False,,,,False
97408000AO1863,2024-09-06,False,,,,False
97407000AV0347,2025-07-24,True,,,,False
97417000AT1198,2025-07-18,False,,,,False
97422000BN3005,2024-03-27,False,,,,False
97414000CM0206,2024-12-30,True,,,,False
97424000AH0489,2024-12-10,False,,,,False
97413000BM0840,2024-10-10,False,,,,False
97415000DI0656,2025-12-22,True,,,,False
97409000AY1303,2024-08-22,True,,,,False
97418000AY0042,2025-06-27,False,,,,False
97410000AB0364,2024-03-25,False,,,,False
97416000CY0616,2024-10-21,False,,,,False
97414000DR0501,2024-01-19,False,,,,False
97411000IE0704,2024-02-23,False,,,,False
97412000CN0222,2025-06-30,False,,,,False
97406000AT0686,2024-05-23,False,,,,False
97416000CZ1818,2024-10-01,True,,,,False
97408000AM0571,2025-05-05,True,,,,False
97415000EY0329,2025-02-24,True,,,,False
97422000BK1444,2025-03-04,False,,,,False
97415000CY1159,2025-03-31,True,,,,False
97413000CQ0677,2024-09-16,True,,,,False
97408000AS0243,2025-05-27,False,,,,False
97415000CM2345,2024-11-02,True,,,,False
97412000AT0304,2025-02-20,False,,,,False
97421000AS0274,2025-06-19,True,,,,False
97408000AN1287,2025-06-30,True,,,,False
97408000AB0310,2024-09-03,False,,,,False
97416000CY0884,2025-01-23,True,,,,False
