candidat,n_eval,n_exclues_client,prec@100_commune_mediane,n_communes,n_priorite,prec_priorite,n_a_suivre,prec_a_suivre,lift_decile_sup,auc_global,auc_bati_individuel,auc_terrain_nu,auc_personne_morale,auc_copropriete,ece_global,ece_bati_individuel,ece_terrain_nu,ece_personne_morale,ece_copropriete,churn_top1158_vs_servi
ligne_de_base,431663,0,0.06,24,73,0.136986301369863,643,0.1010886469673405,2.059498813402286,0.6127410404403687,0.5753331333213615,0.6534709592513392,0.6590879515951481,0.6138056366028777,0.001253231803041,0.0015772654682992,0.004341294032639,0.0063304100487225,0.0239042377071981,0.1804835924006909
K1_censoring,431663,0,0.055,24,68,0.0735294117647058,607,0.0955518945634266,2.0471664851783204,0.6116181788101297,0.5768875593916112,0.6487612697523727,0.6644314687511975,0.609621270631311,0.001183578478448,0.0018511320960629,0.0043553403443163,0.0064548297783179,0.0260511438214963,0.2892918825561312
K1bis_12m_test2024,431663,0,0.065,24,68,0.1029411764705882,591,0.0676818950930626,1.8595782003104535,0.5852148378867975,0.594877875567043,0.6528295621617604,0.5331646130237659,0.647985590561536,0.0030162711760491,0.005921945762194,0.0020719395452425,0.0089046885799807,0.0212960497575397,0.2435233160621761
K1bis_24m_test2024,431663,0,0.0849999999999999,24,66,0.0909090909090909,593,0.148397976391231,1.779185678545075,0.5918392090850637,0.5785973044389968,0.6452673495929594,0.5855826868651257,0.6200999980411744,0.0025011928132772,0.0078890880997656,0.0028284617587853,0.010975692487689,0.0340751341198039,0.5544041450777202
K2_mortes,431663,0,0.07,24,69,0.072463768115942,621,0.0901771336553945,2.0980373391021794,0.6257251715017742,0.5893020838698096,0.6555277332067778,0.6862956256116551,0.6054127692439716,0.0013850587928674,0.0018631555473403,0.0045484255300986,0.0074767742191598,0.0205872428800515,0.3402417962003454
K3_residuel,431663,0,0.06,24,91,0.0769230769230769,604,0.086092715231788,2.085705010878214,0.6218309636883825,0.5865557608458734,0.6570825411919307,0.6854604163622305,0.605334105666638,0.0014586604964278,0.0019933711453349,0.0050012859256351,0.0078773919245406,0.0213735232127761,0.3635578583765112
K4_segments,431663,0,0.05,24,77,0.0779220779220779,689,0.1117561683599419,1.9962956312544615,0.6108016715421134,0.588816445961661,0.6182179109984315,0.64543657955425,0.6090357633227494,0.0024214480051274,0.0015345377966983,0.0057543604786306,0.0039070058335527,0.018083672544253,0.8497409326424871
K4bis_voisinage_global,431663,0,0.075,24,91,0.0659340659340659,608,0.1069078947368421,2.111911208354141,0.6101613922354205,0.5837714936797762,0.6573210846497836,0.6812733773776214,0.6100709044881147,0.0012161454822686,0.0020980781223566,0.0044629512680757,0.0086094194495438,0.0195212499171054,0.4525043177892919
K4bis_voisinage,431663,0,0.045,24,86,0.0232558139534883,651,0.0967741935483871,1.9824217620025,0.607729432991499,0.5897139619891871,0.6226111286928779,0.6305208795227971,0.5961805257587459,0.0043935456255519,0.0019373974012934,0.0063291851366819,0.0090625826324245,0.0191265917969101,0.8911917098445596
K5_challenger_gbm,431663,0,0.07,24,76,0.1973684210526315,676,0.0813609467455621,1.9300093670506455,0.6071358347609194,0.5953725434913255,0.6194006436867302,0.6238592089664313,0.6658049429331502,0.0044336097161392,0.0022177006324246,0.0061099179992661,0.0085870146730823,0.0151222721805665,0.8566493955094991
q_v12,431663,0,0.08,24,79,0.0759493670886076,690,0.1014492753623188,2.2706899342377,0.6200901468069275,0.5842055293470032,0.6542363275427516,0.6725505804826072,0.5998643053290998,0.0021610969163766,0.0015978915390036,0.0057241789002049,0.0049091029510367,0.015677520854558,0.4844559585492227
q_v12_24m_test2024,431663,0,0.125,24,78,0.14102564102564102,594,0.16161616161616163,2.454323101207269,0.6382111458064095,0.5929964468329039,0.6509112712275507,0.6707019271081235,0.6244936436112907,0.0027492931809108,0.0025273422286926956,0.004405689069012795,0.00643022073142831,0.01957967896674193,0.6614853195164077
