,K4bis_voisinage_global,K5_challenger_gbm
n_eval,431663.0,431663.0
n_exclues_client,0.0,0.0
prec@100_commune_mediane,0.075,0.07
n_communes,24.0,24.0
n_priorite,91.0,76.0
prec_priorite,0.0659340659340659,0.19736842105263158
n_a_suivre,608.0,676.0
prec_a_suivre,0.1069078947368421,0.08136094674556213
lift_decile_sup,2.111911208354141,1.9300093670506457
auc_global,0.6101613922354205,0.6071358347609194
auc_bati_individuel,0.5837714936797762,0.5953725434913255
auc_terrain_nu,0.6573210846497836,0.6194006436867302
auc_personne_morale,0.6812733773776214,0.6238592089664313
auc_copropriete,0.6100709044881147,0.6658049429331502
ece_global,0.0012161454822686,0.004433609716139257
ece_bati_individuel,0.0020980781223566,0.0022177006324246404
ece_terrain_nu,0.0044629512680757,0.006109917999266113
ece_personne_morale,0.0086094194495438,0.008587014673082316
ece_copropriete,0.0195212499171054,0.015122272180566582
churn_top1158_vs_servi,0.4525043177892919,0.8566493955094991
