idu,p,raison_1,raison_2,raison_3,contrib_1,contrib_2,contrib_3
97408000AP1609,0.76471,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",9 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.496,0.2864,0.2623
97408000AP1610,0.76471,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",9 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.496,0.2864,0.2623
97423000AB1342,0.59426,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),14 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),17 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),0.496,0.2623,0.2532
97423000AB1341,0.58333,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),13 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),16 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),0.496,0.2623,0.2532
97408000AP1647,0.58333,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",7 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.496,0.2864,0.2623
97423000AB1908,0.58333,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),13 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),16 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),0.496,0.2623,0.2532
97411000HD0032,0.58333,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Parcelle de 14106 m² (cadastre),Piscine détectée sur la parcelle (ortho 2026),1.8696,0.461,0.3786
97422000AX1253,0.55099,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 27084 m² (cadastre),1.7837,0.496,0.461
97410000CD0905,0.5,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",10 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.496,0.2864,0.2623
97423000AB1911,0.5,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),14 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),15 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),0.496,0.2623,0.2532
97411000HR0060,0.5,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Parcelle de 17013 m² (cadastre),27 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),1.8696,0.461,0.2532
97422000AX1477,0.5,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 12440 m² (cadastre),1.7837,0.496,0.461
97408000AP1663,0.5,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",7 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.496,0.2864,0.2623
